Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000179532,DNHD1,sperm flagellum assembly,microtubule-based movement,cell motility,atp binding,minus-end-directed microtubule motor activity,dynein complex binding,sperm flagellum,microtubule,cytoskeleton
,COL4A3BP,regulation of cell migration,cell adhesion,extracellular matrix organization,structural molecule activity,collagen binding,protein dimerization activity,integrin complex,basement membrane,cytoplasm
ENSG00000133275,CSNK1G2,positive regulation of canonical wnt signaling pathway,protein phosphorylation,chromatin remodeling,histone h2bs36 kinase activity,histone h4s1 kinase activity,atp binding,nucleus,cytosol,plasma membrane
ENSG00000139318,DUSP6,regulation of transcription by rna polymerase ii,negative regulation of erk1 and erk2 cascade,negative regulation of mapk cascade,rna polymerase ii ctd heptapeptide repeat t4 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s2 phosphatase activity,calmodulin-dependent protein phosphatase activity,cytoplasm,nucleoplasm,membrane-bounded vesicle
ENSG00000058453,CROCC,positive regulation of cilium assembly,centrosome cycle,epithelial structure maintenance,kinesin binding,actin binding,structural constituent of cytoskeleton,centriole,cilium,actin cytoskeleton
ENSG00000117281,CD160,positive regulation of natural killer cell mediated cytotoxicity,positive regulation of type ii interferon production,t cell costimulation,mhc class i receptor activity,mhc class ib receptor activity,kinase binding,plasma membrane,side of membrane,extracellular region
ENSG00000113240,CLK4,regulation of rna splicing,regulation of chromatin remodeling,cell cycle checkpoint control,histone h3y41 kinase activity,histone h2axy142 kinase activity,protein serine/threonine kinase activity,nucleolus,chromosome,nuclear speckles
ENSG00000213625,LEPROT,negative regulation of receptor signaling pathway via jak-stat,late endosome to vacuole transport via multivesicular body sorting pathway,positive regulation of protein targeting to mitochondrion,signaling receptor binding,protein binding,receptor tyrosine kinase activity,endosome membrane,golgi apparatus,membrane
ENSG00000123545,NDUFAF4,mitochondrial respiratory chain complex i assembly,positive regulation of cell population proliferation,defense response to virus,calmodulin binding,protein binding,nadh dehydrogenase complex assembly,mitochondrion,mitochondrial inner membrane,cytosol
ENSG00000105866,SP4,regulation of transcription,dna-templated,positive regulation of transcription by rna polymerase ii,sequence-specific dna binding,dna-binding transcription factor activity,rna polymerase ii-specific,nucleus,chromatin,nucleoplasm
ENSG00000233813,MRPS18B,mitochondrial translation,translation elongation,mrna processing,structural constituent of ribosome,protein binding,atp hydrolysis-coupled protein binding,mitochondrion,mitochondrial small ribosomal subunit,ribonucleoprotein complex
ENSG00000275979,CNOT3,regulation of translation,nuclear-transcribed mrna poly(a) tail shortening,regulatory ncrna-mediated gene silencing,mrna decapping,protein binding,rna binding,p-body,nucleus,ccr4-not complex
ENSG00000187173,LCE2A,epidermis development,keratinization,cell differentiation,protein binding,lipid binding,structural molecule activity,cell surface,extracellular matrix,plasma membrane
ENSG00000114771,AADAC,lipid metabolic process,positive regulation of triglyceride catabolic process,xenobiotic metabolic process,triacylglycerol lipase activity,serine hydrolase activity,carboxylic ester hydrolase activity,endoplasmic reticulum membrane,membrane,vesicle membrane
ENSG00000134900,TPP2,protein polyubiquitination,proteolysis,intracellular amino acid homeostasis,tripeptidyl-peptidase activity,serine-type endopeptidase activity,aminopeptidase activity,nucleus,nucleoplasm,cytosol
ENSG00000100505,TRIM9,proteasome-mediated ubiquitin-dependent protein catabolic process,protein ubiquitination,cellular protein metabolic process,ubiquitin protein ligase activity,protein binding,zinc ion binding,cytoplasm,synapse,cytoskeleton
ENSG00000203883,SOX18,regulation of gene expression,transcription regulation,negative regulation of cell proliferation,sequence-specific dna binding,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,transcriptional regulatory region
ENSG00000214413,BBIP1,receptor localization to non-motile cilium,wnt signaling pathway,protein transport,protein binding,receptor tyrosine kinase activity,signal transduction,ciliary membrane,bbsome,cytoplasm
ENSG00000167916,KRT24,intermediate filament organization,epithelial cell differentiation,cell adhesion,structural molecule activity,protein binding,receptor tyrosine kinase activity,intermediate filament,cytoskeleton,plasma membrane
ENSG00000124275,MTRR,regulation of homocysteine metabolism,methionine biosynthesis,cobalamin metabolic process,[methionine synthase] reductase (nadph) activity,nadph binding,fmn binding,nucleoplasm,cytosol,cytoplasm
ENSG00000116984,MTR,methionine biosynthetic process,homocysteine metabolic process,cellular response to nitric oxide,methionine synthase activity,cobalamin binding,zinc ion binding,cytoplasm,cytosol,membrane
ENSG00000062282,DGAT2,triglyceride biosynthetic process,diacylglycerol biosynthetic process,long-chain fatty-acyl-coa metabolic process,diacylglycerol o-acyltransferase activity,-acylglycerol o-acyltransferase activity,protein homodimerization activity,lipid droplet,endoplasmic reticulum membrane,mitochondrion
ENSG00000243509,TNFRSF6B,negative regulation of apoptotic process,apoptotic process,cell death induction,death domain binding,receptor tyrosine kinase activity,signaling receptor activity,extracellular region,plasma membrane,cell surface
ENSG00000104936,DMPK,regulation of skeletal muscle contraction,regulation of excitatory postsynaptic membrane potential,regulation of synapse structural plasticity,histone h3t6 kinase activity,histone h2as1 kinase activity,histone h2bs14 kinase activity,mitochondrial outer membrane,nucleus,sarcoplasmic reticulum
ENSG00000166562,SEC11C,signal peptide processing,proteasome degradation,unfolded protein response,serine-type endopeptidase activity,peptidase inhibitor activity,protein-protein interaction,endoplasmic reticulum lumen,trans-golgi network,membrane-bound vesicle
ENSG00000147650,LRP12,regulation of cell growth,endocytosis,signal transduction,receptor tyrosine kinase activity,protein binding,transmembrane signaling,plasma membrane,clathrin-coated pit,lipid raft
ENSG00000181804,SLC9A9,sodium ion import across plasma membrane,regulation of intracellular ph,proton transmembrane transport,sodium:proton antiporter activity,potassium:proton antiporter activity,protein binding,early endosome membrane,recycling endosome membrane,late endosome membrane
ENSG00000023191,RNH1,trna stabilization,regulation of angiogenesis,mrna catabolic process,ribonuclease inhibitor activity,protein binding,actin filament binding,lamellipodium,extracellular exosome,nucleus
ENSG00000064995,TAF11,positive regulation of transcription initiation by rna polymerase ii,mrna transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,dna binding,transcription coactivator activity,protein heterodimerization activity,transcription factor tfiid complex,nucleus,nucleoplasm
ENSG00000281309,SURF6,ribosome biogenesis,ribosomal large subunit biogenesis,rrna processing,rna binding,dna binding,protein binding,nucleolus,nucleus,chromosome
ENSG00000138587,MNS1,sperm axoneme assembly,positive regulation of cilium assembly,spermatogenesis,protein binding,identical protein binding,receptor tyrosine kinase activity,motile cilium,intermediate filament,nucleus
ENSG00000163485,ADORA1,regulation of synaptic transmission,negative regulation of long-term potentiation,negative regulation of neuronal excitability,g protein-coupled receptor activity,purine nucleoside binding,heterotrimeric g-protein binding,synaptic membrane,postsynaptic density,plasma membrane
ENSG00000174667,OR7D4,detection of chemical stimulus involved in sensory perception of smell,signal transduction,g protein-coupled receptor signaling pathway,olfactory receptor activity,g protein-coupled receptor activity,receptor ligand binding,plasma membrane,membrane,cell surface
ENSG00000110887,DAO,proline catabolic process,d-amino acid catabolic process,d-serine metabolic process,d-amino-acid oxidase activity,glycine oxidase activity,fad binding,peroxisomal matrix,mitochondrial outer membrane,cytoplasm
ENSG00000105669,COPE,vesicle-mediated transport,retrograde vesicle-mediated transport,protein localization to axon,protein binding,structural molecule activity,adaptor binding,copi-coated vesicle membrane,golgi apparatus,cytoplasmic vesicle
ENSG00000138696,BMPR1B,positive regulation of transcription by rna polymerase ii,bmp signaling pathway,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,bmp receptor activity,activin receptor activity,type i,plasma membrane,dendrite,receptor complex
ENSG00000108590,MED31,regulation of dna-templated transcription,positive regulation of transcription elongation by rna polymerase ii,protein ubiquitination,transcription coregulator activity,protein binding,ubiquitin protein ligase activity,nucleus,ubiquitin ligase complex,core mediator complex
ENSG00000122958,VPS26A,regulation of macroautophagy,intracellular protein transport,endocytic recycling,protein binding,adaptor binding,ubiquitin-protein binding,early endosome,endosome membrane,lysosome
ENSG00000152583,SPARCL1,regulation of synaptic plasticity,signal transduction,neuron development,collagen binding,calcium ion binding,protein binding,glutamatergic synapse,extracellular space,collagen-containing extracellular matrix
ENSG00000065000,AP3D1,positive regulation of transcription by rna polymerase ii,anterograde synaptic vesicle transport,positive regulation of nk t cell differentiation,protein binding,zinc ion transmembrane transporter activity,adaptor complex subunit activity,lysosomal membrane,endosome membrane,presynaptic endosome
ENSG00000099290,WASHC2A,regulation of actin filament assembly,endosome transport,retrograde transport,phosphatidylinositol phosphate binding,retromer complex binding,protein binding,endosome membrane,early endosome,plasma membrane
ENSG00000164695,CHMP4C,mitotic cytokinesis checkpoint signaling,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,regulation of mitotic spindle assembly,protein homodimerization activity,protein binding,ubiquitin-like protein ligase activity,multivesicular body membrane,kinetochore microtubule,amphisome membrane
ENSG00000143363,PRUNE1,regulation of microtubule polymerization,regulation of neurogenesis,cell cycle process,tubulin binding,exopolyphosphatase activity,inorganic diphosphate phosphatase activity,nucleus,focal adhesion,cytosol
ENSG00000104960,PTOV1,positive regulation of transcription dna-templated,transcriptional regulation,response to growth factor stimulus,sequence-specific dna binding,transcription activator activity,rna polymerase ii regulatory region sequence binding,nucleus,nuclear membrane,nucleoplasm
ENSG00000183813,CCR4,positive regulation of chemotaxis,chemokine-mediated signaling pathway,response to bacterium,c-c chemokine receptor activity,g protein-coupled receptor activity,chemokine binding,plasma membrane,neuronal cell body,external side of plasma membrane
